year,summer_start_date,summer_start_doy,summer_end_date,summer_end_doy,spring_start_date,spring_start_doy,winter_start_date,winter_start_doy,spring_days,summer_days,autumn_days,winter_days,next_spring_start_date,next_spring_start_doy
1982,1982-07-12T00:00:00.000000000,193,1982-09-04T00:00:00.000000000,247,1982-03-30T00:00:00.000000000,89,1982-11-28T00:00:00.000000000,332,104,55,85,114,1983-03-22T00:00:00.000000000,81
1983,1983-07-19T00:00:00.000000000,200,1983-09-10T00:00:00.000000000,253,1983-03-22T00:00:00.000000000,81,1983-11-26T00:00:00.000000000,330,119,54,77,131,1984-04-05T00:00:00.000000000,96
1984,1984-07-05T00:00:00.000000000,187,1984-09-05T00:00:00.000000000,249,1984-04-05T00:00:00.000000000,96,1984-11-27T00:00:00.000000000,332,91,63,83,124,1985-03-31T00:00:00.000000000,90
1985,1985-07-09T00:00:00.000000000,190,1985-09-13T00:00:00.000000000,256,1985-03-31T00:00:00.000000000,90,1985-11-28T00:00:00.000000000,332,100,67,76,124,1986-04-01T00:00:00.000000000,91
1986,1986-07-27T00:00:00.000000000,208,1986-09-14T00:00:00.000000000,257,1986-04-01T00:00:00.000000000,91,1986-11-27T00:00:00.000000000,331,117,50,74,140,1987-04-16T00:00:00.000000000,106
1987,1987-06-06T00:00:00.000000000,157,1987-09-16T00:00:00.000000000,259,1987-04-16T00:00:00.000000000,106,1987-11-30T00:00:00.000000000,334,51,103,75,124,1988-04-02T00:00:00.000000000,93
1988,1988-07-12T00:00:00.000000000,194,1988-09-16T00:00:00.000000000,260,1988-04-02T00:00:00.000000000,93,1988-12-16T00:00:00.000000000,351,101,67,91,99,1989-03-25T00:00:00.000000000,84
1989,1989-07-11T00:00:00.000000000,192,1989-09-19T00:00:00.000000000,262,1989-03-25T00:00:00.000000000,84,1989-12-10T00:00:00.000000000,344,108,71,82,89,1990-03-09T00:00:00.000000000,68
1990,1990-06-13T00:00:00.000000000,164,1990-09-22T00:00:00.000000000,265,1990-03-09T00:00:00.000000000,68,1990-12-18T00:00:00.000000000,352,96,102,87,91,1991-03-19T00:00:00.000000000,78
1991,1991-06-12T00:00:00.000000000,163,1991-09-12T00:00:00.000000000,255,1991-03-19T00:00:00.000000000,78,1991-12-10T00:00:00.000000000,344,85,93,89,107,1992-03-26T00:00:00.000000000,86
1992,1992-07-08T00:00:00.000000000,190,1992-09-07T00:00:00.000000000,251,1992-03-26T00:00:00.000000000,86,1992-12-07T00:00:00.000000000,342,104,62,91,106,1993-03-23T00:00:00.000000000,82
1993,1993-08-14T00:00:00.000000000,226,1993-09-19T00:00:00.000000000,262,1993-03-23T00:00:00.000000000,82,1993-12-07T00:00:00.000000000,341,144,37,79,110,1994-03-27T00:00:00.000000000,86
1994,1994-06-18T00:00:00.000000000,169,1994-09-22T00:00:00.000000000,265,1994-03-27T00:00:00.000000000,86,1994-12-07T00:00:00.000000000,341,83,97,76,113,1995-03-30T00:00:00.000000000,89
1995,1995-07-10T00:00:00.000000000,191,1995-09-28T00:00:00.000000000,271,1995-03-30T00:00:00.000000000,89,1995-12-09T00:00:00.000000000,343,102,81,72,120,1996-04-07T00:00:00.000000000,98
1996,1996-07-03T00:00:00.000000000,185,1996-09-07T00:00:00.000000000,251,1996-04-07T00:00:00.000000000,98,1996-12-01T00:00:00.000000000,336,87,67,85,110,1997-03-21T00:00:00.000000000,80
1997,1997-06-25T00:00:00.000000000,176,1997-09-13T00:00:00.000000000,256,1997-03-21T00:00:00.000000000,80,1997-12-04T00:00:00.000000000,338,96,81,82,106,1998-03-20T00:00:00.000000000,79
1998,1998-06-29T00:00:00.000000000,180,1998-09-26T00:00:00.000000000,269,1998-03-20T00:00:00.000000000,79,1998-11-21T00:00:00.000000000,325,101,90,56,131,1999-04-01T00:00:00.000000000,91
1999,1999-06-15T00:00:00.000000000,166,1999-09-30T00:00:00.000000000,273,1999-04-01T00:00:00.000000000,91,1999-12-14T00:00:00.000000000,348,75,108,75,105,2000-03-28T00:00:00.000000000,88
2000,2000-06-19T00:00:00.000000000,171,2000-09-23T00:00:00.000000000,267,2000-03-28T00:00:00.000000000,88,2000-12-02T00:00:00.000000000,337,83,97,70,121,2001-04-02T00:00:00.000000000,92
2001,2001-06-05T00:00:00.000000000,156,2001-09-20T00:00:00.000000000,263,2001-04-02T00:00:00.000000000,92,2001-12-06T00:00:00.000000000,340,64,108,77,92,2002-03-08T00:00:00.000000000,67
2002,2002-07-08T00:00:00.000000000,189,2002-09-14T00:00:00.000000000,257,2002-03-08T00:00:00.000000000,67,2002-12-09T00:00:00.000000000,343,122,69,86,105,2003-03-24T00:00:00.000000000,83
2003,2003-06-20T00:00:00.000000000,171,2003-09-19T00:00:00.000000000,262,2003-03-24T00:00:00.000000000,83,2003-12-09T00:00:00.000000000,343,88,92,81,105,2004-03-23T00:00:00.000000000,83
2004,2004-06-22T00:00:00.000000000,174,2004-09-23T00:00:00.000000000,267,2004-03-23T00:00:00.000000000,83,2004-12-21T00:00:00.000000000,356,91,94,89,99,2005-03-30T00:00:00.000000000,89
2005,2005-06-24T00:00:00.000000000,175,2005-09-23T00:00:00.000000000,266,2005-03-30T00:00:00.000000000,89,2005-12-04T00:00:00.000000000,338,86,92,72,126,2006-04-09T00:00:00.000000000,99
2006,2006-06-29T00:00:00.000000000,180,2006-09-22T00:00:00.000000000,265,2006-04-09T00:00:00.000000000,99,2006-12-04T00:00:00.000000000,338,81,86,73,109,2007-03-23T00:00:00.000000000,82
2007,2007-06-23T00:00:00.000000000,174,2007-09-26T00:00:00.000000000,269,2007-03-23T00:00:00.000000000,82,2007-11-22T00:00:00.000000000,326,92,96,57,109,2008-03-10T00:00:00.000000000,70
2008,2008-07-05T00:00:00.000000000,187,2008-09-22T00:00:00.000000000,266,2008-03-10T00:00:00.000000000,70,2008-12-16T00:00:00.000000000,351,117,80,85,106,2009-04-01T00:00:00.000000000,91
2009,2009-06-25T00:00:00.000000000,176,2009-09-11T00:00:00.000000000,254,2009-04-01T00:00:00.000000000,91,2009-12-16T00:00:00.000000000,350,85,79,96,106,2010-04-01T00:00:00.000000000,91
2010,2010-06-19T00:00:00.000000000,170,2010-09-22T00:00:00.000000000,265,2010-04-01T00:00:00.000000000,91,2010-12-13T00:00:00.000000000,347,79,96,82,107,2011-03-30T00:00:00.000000000,89
2011,2011-06-22T00:00:00.000000000,173,2011-09-20T00:00:00.000000000,263,2011-03-30T00:00:00.000000000,89,2011-12-09T00:00:00.000000000,343,84,91,80,121,2012-04-08T00:00:00.000000000,99
2012,2012-07-08T00:00:00.000000000,190,2012-10-03T00:00:00.000000000,277,2012-04-08T00:00:00.000000000,99,2012-12-02T00:00:00.000000000,337,91,88,60,116,2013-03-28T00:00:00.000000000,87
2013,2013-07-06T00:00:00.000000000,187,2013-10-12T00:00:00.000000000,285,2013-03-28T00:00:00.000000000,87,2013-12-14T00:00:00.000000000,348,100,99,63,99,2014-03-23T00:00:00.000000000,82
2014,2014-06-01T00:00:00.000000000,152,2014-09-12T00:00:00.000000000,255,2014-03-23T00:00:00.000000000,82,2014-12-06T00:00:00.000000000,340,70,104,85,100,2015-03-16T00:00:00.000000000,75
2015,2015-06-17T00:00:00.000000000,168,2015-09-14T00:00:00.000000000,257,2015-03-16T00:00:00.000000000,75,2015-12-27T00:00:00.000000000,361,93,90,104,79,2016-03-15T00:00:00.000000000,75
2016,2016-06-20T00:00:00.000000000,172,2016-09-29T00:00:00.000000000,273,2016-03-15T00:00:00.000000000,75,2016-11-27T00:00:00.000000000,332,97,102,59,121,2017-03-28T00:00:00.000000000,87
2017,2017-06-26T00:00:00.000000000,177,2017-09-22T00:00:00.000000000,265,2017-03-28T00:00:00.000000000,87,2017-11-23T00:00:00.000000000,327,90,89,62,108,2018-03-11T00:00:00.000000000,70
2018,2018-06-08T00:00:00.000000000,159,2018-09-20T00:00:00.000000000,263,2018-03-11T00:00:00.000000000,70,2018-12-09T00:00:00.000000000,343,89,105,80,116,2019-04-04T00:00:00.000000000,94
2019,2019-05-27T00:00:00.000000000,147,2019-10-05T00:00:00.000000000,278,2019-04-04T00:00:00.000000000,94,2019-11-30T00:00:00.000000000,334,53,132,56,97,2020-03-06T00:00:00.000000000,66
2020,2020-06-11T00:00:00.000000000,163,2020-09-23T00:00:00.000000000,267,2020-03-06T00:00:00.000000000,66,2020-12-15T00:00:00.000000000,350,97,105,83,86,2021-03-11T00:00:00.000000000,70
2021,2021-06-13T00:00:00.000000000,164,2021-09-26T00:00:00.000000000,269,2021-03-11T00:00:00.000000000,70,2021-12-19T00:00:00.000000000,353,94,106,84,96,2022-03-25T00:00:00.000000000,84
2022,2022-06-19T00:00:00.000000000,170,2022-10-04T00:00:00.000000000,277,2022-03-25T00:00:00.000000000,84,2022-12-05T00:00:00.000000000,339,86,108,62,85,2023-02-28T00:00:00.000000000,59
